iter	Passed	Remaining
0	266	132782
1	570	141990
2	691	114641
3	791	98138
4	1050	104017
5	1777	146317
6	2088	147082
7	2888	177668
8	3606	196743
9	4657	228216
10	4777	212371
11	5188	210997
12	5468	204852
13	5817	201953
14	6155	199032
15	6638	200809
16	7284	206974
17	7766	207975
18	8211	207873
19	8860	212643
20	9278	211640
21	9831	213616
22	10418	216076
23	11236	222848
24	11772	223668
25	12209	222587
26	12578	220362
27	13352	225084
28	13768	223611
29	13883	217509
30	14282	216077
31	14713	215187
32	15207	215207
33	15627	214184
34	16038	213083
35	16308	210200
36	16571	207370
37	16914	205638
38	17133	202524
39	17364	199686
40	17603	197075
41	17906	195269
42	18130	192689
43	18370	190381
44	18588	187951
45	18798	185536
46	19028	183399
47	19248	181257
48	19495	179442
49	19725	177526
50	19957	175701
51	20166	173738
52	20396	172021
53	20604	170177
54	20920	169265
55	21143	167639
56	21362	166027
57	21431	163322
58	21577	161282
59	21957	161018
60	22219	159905
61	22544	159263
62	22784	158045
63	23056	157070
64	23421	156744
65	23709	155907
66	23961	154855
67	24182	153630
68	24403	152432
69	24642	151375
70	24929	150632
71	25162	149579
72	25377	148443
73	25623	147508
74	26006	147372
75	26359	147056
76	26634	146317
77	26861	145325
78	27116	144506
79	27394	143818
80	27809	143854
81	28090	143194
82	28391	142641
83	28453	140914
84	28684	140046
85	28971	139467
86	29245	138830
87	29528	138248
88	29791	137577
89	30042	136859
90	30134	135440
91	30424	134924
92	30670	134224
93	30957	133710
94	31194	132987
95	31459	132393
96	31699	131699
97	31968	131137
98	32195	130410
99	32504	130019
100	32647	128975
101	32999	128763
102	33421	128819
103	33739	128469
104	34041	128061
105	34173	127021
106	34457	126559
107	34689	125911
108	34973	125455
109	35236	124927
110	35538	124543
111	35779	123949
112	36224	124059
113	36676	124184
114	36888	123496
115	37145	122965
116	37336	122220
117	37563	121603
118	37771	120930
119	37982	120278
120	38220	119714
121	38483	119236
122	38738	118736
123	39013	118298
124	39314	117943
125	39624	117614
126	39868	117095
127	40115	116586
128	40382	116137
129	40598	115550
130	40661	114533
131	41018	114354
132	41304	113976
133	41534	113444
134	41903	113294
135	42145	112800
136	42390	112319
137	42610	111774
138	42864	111324
139	43090	110804
140	43289	110220
141	43506	109685
142	43732	109179
143	44021	108832
144	44257	108354
145	44516	107937
146	44791	107561
147	45043	107129
148	45296	106704
149	45693	106618
150	45898	106084
151	46095	105534
152	46307	105023
153	46493	104459
154	46667	103872
155	46908	103439
156	47181	103077
157	47711	103274
158	47975	102890
159	48161	102342
160	48415	101943
161	48615	101432
162	48692	100670
163	48895	100175
164	49077	99641
165	49285	99165
166	49467	98637
167	49651	98120
168	49849	97635
169	50537	98102
170	50975	98076
171	51551	98307
172	51952	98198
173	52234	97864
174	52485	97472
175	52743	97096
176	53024	96761
177	53293	96408
178	53595	96112
179	53764	95582
180	54031	95227
181	54310	94894
182	54638	94647
183	55182	94769
184	55474	94456
185	55835	94260
186	56109	93915
187	56404	93607
188	56672	93254
189	56937	92897
190	57199	92537
191	57486	92217
192	57735	91838
193	58043	91552
194	58288	91169
195	58534	90788
196	58806	90448
197	59081	90114
198	59337	89751
199	59620	89430
200	59864	89051
201	60198	88807
202	60466	88466
203	60655	88009
204	60881	87609
205	61067	87154
206	61270	86725
207	61459	86279
208	61637	85821
209	61824	85376
210	62011	84934
211	62199	84497
212	62381	84053
213	62567	83618
214	62754	83186
215	62946	82762
216	63180	82396
217	63399	82012
218	63577	81576
219	63761	81151
220	63957	80742
221	64146	80327
222	64331	79910
223	64506	79481
224	64698	79075
225	64881	78661
226	65073	78259
227	65254	77847
228	65461	77468
229	65653	77071
230	65842	76673
231	66019	76263
232	66206	75867
233	66389	75468
234	66566	75064
235	66746	74665
236	66930	74273
237	67122	73891
238	67313	73509
239	67497	73122
240	67726	72784
241	67903	72392
242	68089	72012
243	68276	71634
244	68474	71269
245	68649	70882
246	68829	70501
247	69019	70132
248	69186	69742
249	69364	69364
250	69547	68992
251	69741	68634
252	69990	68330
253	70183	67972
254	70368	67608
255	70544	67237
256	70732	66879
257	70923	66524
258	71112	66170
259	71291	65807
260	71471	65446
261	71664	65100
262	71849	64746
263	72050	64408
264	72287	64104
265	72472	63754
266	72677	63422
267	72858	63071
268	73053	62733
269	73248	62396
270	73441	62059
271	73629	61718
272	73830	61390
273	74028	61060
274	74229	60733
275	74423	60401
276	74650	60097
277	74844	59768
278	75041	59441
279	75231	59110
280	75421	58780
281	75609	58450
282	75805	58126
283	75997	57800
284	76171	57462
285	76357	57134
286	76538	56803
287	76728	56480
288	76946	56179
289	77135	55856
290	77321	55532
291	77498	55204
292	77690	54887
293	77881	54570
294	78064	54248
295	78234	53918
296	78437	53612
297	78626	53297
298	78808	52978
299	79020	52680
300	79208	52367
301	79400	52056
302	79604	51756
303	79795	51447
304	79976	51132
305	80172	50828
306	80348	50512
307	80548	50212
308	80734	49903
309	80929	49602
310	81149	49315
311	81331	49007
312	81515	48700
313	81702	48396
314	81892	48095
315	82079	47793
316	82258	47486
317	82439	47182
318	82627	46882
319	82811	46581
320	83009	46288
321	83196	45990
322	83432	45719
323	83627	45427
324	83817	45132
325	84005	44837
326	84203	44548
327	84391	44254
328	84570	43955
329	84759	43663
330	84946	43371
331	85126	43076
332	85317	42786
333	85509	42498
334	85737	42228
335	85917	41935
336	86100	41645
337	86288	41357
338	86481	41072
